car_ID;symboling;CarName;fueltype;aspiration;doornumber;carbody;drivewheel;enginelocation;wheelbase;carlength;carwidth;carheight;curbweight;enginetype;cylindernumber;enginesize;fuelsystem;boreratio;stroke;compressionratio;horsepower;peakrpm;citympg;highwaympg;price;;
1;3;alfa-romero giulia;gas;std;two;convertible;rwd;front;886;1688;641;488;2548;dohc;four;130;mpfi;347;268;9;111;5000;21;27;13495;;
2;3;alfa-romero stelvio;gas;std;two;convertible;rwd;front;886;1688;641;488;2548;dohc;four;130;mpfi;347;268;9;111;5000;21;27;16500;;
3;1;alfa-romero Quadrifoglio;gas;std;two;hatchback;rwd;front;945;1712;655;524;2823;ohcv;six;152;mpfi;268;347;9;154;5000;19;26;16500;;
4;2;audi 100 ls;gas;std;four;sedan;fwd;front;998;1766;662;543;2337;ohc;four;109;mpfi;319;34;10;102;5500;24;30;13950;;
5;2;audi 100ls;gas;std;four;sedan;4wd;front;994;1766;664;543;2824;ohc;five;136;mpfi;319;34;8;115;5500;18;22;17450;;
6;2;audi fox;gas;std;two;sedan;fwd;front;998;1773;663;531;2507;ohc;five;136;mpfi;319;34;85;110;5500;19;25;15250;;
7;1;audi 100ls;gas;std;four;sedan;fwd;front;1058;1927;714;557;2844;ohc;five;136;mpfi;319;34;85;110;5500;19;25;17710;;
8;1;audi 5000;gas;std;four;wagon;fwd;front;1058;1927;714;557;2954;ohc;five;136;mpfi;319;34;85;110;5500;19;25;18920;;
9;1;audi 4000;gas;turbo;four;sedan;fwd;front;1058;1927;714;559;3086;ohc;five;131;mpfi;313;34;83;140;5500;17;20;23875;;
10;0;audi 5000s (diesel);gas;turbo;two;hatchback;4wd;front;995;1782;679;52;3053;ohc;five;131;mpfi;313;34;7;160;5500;16;22;89578;;
11;2;bmw 320i;gas;std;two;sedan;rwd;front;1012;1768;648;543;2395;ohc;four;108;mpfi;35;28;88;101;5800;23;29;16430;;
12;0;bmw 320i;gas;std;four;sedan;rwd;front;1012;1768;648;543;2395;ohc;four;108;mpfi;35;28;88;101;5800;23;29;16925;;
13;0;bmw x1;gas;std;two;sedan;rwd;front;1012;1768;648;543;2710;ohc;six;164;mpfi;331;319;9;121;4250;21;28;20970;;
14;0;bmw x3;gas;std;four;sedan;rwd;front;1012;1768;648;543;2765;ohc;six;164;mpfi;331;319;9;121;4250;21;28;21105;;
15;1;bmw z4;gas;std;four;sedan;rwd;front;1035;189;669;557;3055;ohc;six;164;mpfi;331;319;9;121;4250;20;25;24565;;
16;0;bmw x4;gas;std;four;sedan;rwd;front;1035;189;669;557;3230;ohc;six;209;mpfi;362;339;8;182;5400;16;22;30760;;
17;0;bmw x5;gas;std;two;sedan;rwd;front;1035;1938;679;537;3380;ohc;six;209;mpfi;362;339;8;182;5400;16;22;41315;;
18;0;bmw x3;gas;std;four;sedan;rwd;front;110;197;709;563;3505;ohc;six;209;mpfi;362;339;8;182;5400;15;20;36880;;
19;2;chevrolet impala;gas;std;two;hatchback;fwd;front;884;1411;603;532;1488;l;three;61;2bbl;291;303;95;48;5100;47;53;5151;;
20;1;chevrolet monte carlo;gas;std;two;hatchback;fwd;front;945;1559;636;52;1874;ohc;four;90;2bbl;303;311;96;70;5400;38;43;6295;;
21;0;chevrolet vega 2300;gas;std;four;sedan;fwd;front;945;1588;636;52;1909;ohc;four;90;2bbl;303;311;96;70;5400;38;43;6575;;
22;1;dodge rampage;gas;std;two;hatchback;fwd;front;937;1573;638;508;1876;ohc;four;90;2bbl;297;323;941;68;5500;37;41;5572;;
23;1;dodge challenger se;gas;std;two;hatchback;fwd;front;937;1573;638;508;1876;ohc;four;90;2bbl;297;323;94;68;5500;31;38;6377;;
24;1;dodge d200;gas;turbo;two;hatchback;fwd;front;937;1573;638;508;2128;ohc;four;98;mpfi;303;339;76;102;5500;24;30;7957;;
