Provinsi,2021,2022,2023
Aceh,2.81,4.21,4.23
Sumatera Utara,2.61,4.73,5.01
Sumatera Barat,3.29,4.36,4.62
Riau,3.36,4.55,4.21
Jambi,3.70,5.12,4.66
Sumatera Selatan,3.58,5.23,5.08
Bengkulu,3.27,4.31,4.26
Lampung,2.77,4.28,4.55
Kep. Bangka Belitung,5.05,4.40,4.38
Kepulauan Riau,3.43,5.09,5.20
DKI Jakarta,3.55,5.25,4.96
Jawa Barat,3.74,5.45,5.00
Jawa Tengah,3.33,5.31,4.98
DI Yogyakarta,5.58,5.15,5.07
Jawa Timur,3.56,5.34,4.95
Banten,4.49,5.03,4.81
Bali,-2.46,4.84,5.71
Nusa Tenggara Barat,2.30,6.95,1.80
Nusa Tenggara Timur,2.52,3.05,3.52
Kalimantan Barat,4.80,5.07,4.46
Kalimantan Tengah,3.59,6.45,4.14
Kalimantan Selatan,3.48,5.11,4.84
Kalimantan Timur,2.55,4.48,6.22
Kalimantan Utara,3.99,5.32,4.94
Sulawesi Utara,4.16,5.42,5.48
Sulawesi Tengah,11.68,15.22,11.91
Sulawesi Selatan,4.64,5.10,4.51
Sulawesi Tenggara,4.10,5.53,5.35
Gorontalo,2.40,4.04,4.50
Sulawesi Barat,2.57,2.31,5.25
Maluku,3.63,5.31,5.21
Maluku Utara,16.79,22.94,20.49
Papua Barat,-0.51,2.01,3.91
Papua,15.16,8.97,5.22
Indonesia,3.71,5.35,5.06
,,,
,,,
Source Url: https://sumsel.bps.go.id/indicator/104/856/1/laju-pdrb-menurut-provinsi.html,,,
Access Time: August 13, 2024, 8:12 am,,,
