,Dem_age,Dem_gender,Country,Scale_PSS10_UCLA_1,Scale_PSS10_UCLA_2,Scale_PSS10_UCLA_3,Scale_PSS10_UCLA_4,Scale_PSS10_UCLA_5,Scale_PSS10_UCLA_6,Scale_PSS10_UCLA_7,Scale_PSS10_UCLA_8,Scale_PSS10_UCLA_9,Scale_PSS10_UCLA_10,Scale_Lon_1,Scale_Lon_2,Scale_Lon_3,OECD_insititutions_1,OECD_insititutions_2,OECD_insititutions_3,OECD_insititutions_4,OECD_insititutions_5,OECD_insititutions_6,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6,PSS10_avg,Lon_avg,SPS_avg
118,18,Female,United States,2,1,2,4,4,2,5,3,1,2,1,1,2,7,8,7,5,6,7,2,2,2,5,5,6,5,4,1,4,1,1.8,1.333333333,5.7
225,20,Female,United States,3,2,3,3,4,3,4,3,4,3,4,3,4,5,4,4,NA,3,NA,6,6,6,6,6,5,6,6,3,1,3,2.8,3.666666667,5.1
338,21,Female,United States,3,3,4,3,3,3,3,3,3,3,3,3,3,3,5,5,4,5,3,5,5,5,5,5,5,4,5,5,2,4,3.1,3,4.8
341,21,Male,United States,2,2,4,5,4,3,5,3,3,4,2,3,5,6,6,6,7,7,7,5,6,5,6,5,5,5,5,3,3,2,2.5,3.333333333,5
351,21,Female,United States,2,4,5,3,1,4,3,3,1,2,3,1,3,8,8,7,2,10,4,1,1,1,5,6,6,5,3,5,3,1,3.2,2.333333333,5.222222222
356,65,Female,United States,2,3,1,5,4,2,4,4,2,1,1,1,3,8,9,9,9,4,9,5,5,5,3,4,5,5,5,5,4,4,1.8,1.666666667,5
375,23,Female,United States,4,4,4,2,3,4,2,2,4,4,3,3,3,1,1,3,3,8,2,5,5,5,5,5,4,5,5,3,5,2,3.9,3,5.1
378,23,Female,United States,3,3,4,4,2,2,3,4,3,2,3,2,4,1,3,3,6,4,5,3,4,4,4,4,5,4,3,4,2,1,2.8,3,5.4
466,36,Female,United States,4,4,5,3,2,5,2,4,5,4,5,3,5,4,5,6,3,5,2,4,5,3,5,5,6,5,5,6,4,6,4,4.333333333,5.5
468,37,Female,United States,3,2,4,3,3,3,3,3,4,3,1,3,3,0,9,7,10,7,0,6,6,6,6,6,6,5,5,2,2,2,3.1,2.333333333,4.6
470,61,Female,United States,1,2,1,5,5,1,5,5,2,1,1,1,2,5,7,7,9,6,4,3,3,3,5,5,5,5,5,1,3,4,1.2,1.333333333,5.7
473,37,Female,United States,3,2,3,3,2,2,3,4,2,2,1,2,2,4,4,4,3,4,1,4,4,4,6,6,6,5,5,4,5,3,2.6,1.666666667,5.9
477,66,Female,United States,3,3,3,4,3,3,4,4,3,2,1,2,2,6,8,8,7,5,8,6,6,6,6,6,5,6,5,4,1,5,2.6,1.666666667,5.8
478,23,Female,United States,2,2,2,4,3,2,3,3,1,3,4,2,4,6,6,5,9,9,7,5,6,5,6,6,4,4,3,3,4,3,2.3,3.333333333,3.6
479,21,Female,United States,3,4,4,4,3,2,3,2,3,3,3,4,5,6,8,5,8,7,8,4,5,4,4,4,4,5,3,4,2,2,3.1,4,4.4
480,22,Male,United States,1,2,2,4,3,1,5,4,1,1,1,1,2,1,3,3,7,7,1,1,4,6,5,4,6,4,4,1,3,2,1.6,1.333333333,6
482,27,Female,United States,4,5,5,3,3,3,4,3,4,3,2,3,5,1,6,6,4,1,5,5,5,5,2,2,5,5,5,3,3,6,3.5,3.333333333,NA
483,24,Female,United States,4,4,5,3,2,4,3,3,4,3,4,3,3,7,9,7,9,9,6,5,4,4,5,5,5,6,6,4,4,3,3.7,3.333333333,5.5
486,23,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,18,Female,United States,2,2,3,4,3,2,3,3,3,2,3,1,2,1,4,4,6,10,1,5,6,4,4,4,6,6,5,1,2,6,2.5,2,5.8
492,19,Female,United States,3,4,5,4,2,5,3,4,5,2,2,1,3,2,7,5,0,0,3,6,6,5,5,5,4,4,3,3,3,4,3.5,2,5.5
494,24,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,30,Female,United States,4,4,5,3,2,3,2,3,5,4,3,4,4,4,4,6,6,7,4,6,6,6,6,6,5,5,5,6,4,4,3.9,3.666666667,5.5
500,26,Female,United States,4,2,5,4,3,3,3,4,5,2,4,3,3,3,5,5,6,6,2,5,6,5,4,4,4,5,5,2,2,4,3.1,3.333333333,4.2
509,25,Male,United States,3,4,4,3,3,4,4,2,3,3,5,3,4,0,7,NA,6,10,0,4,5,4,6,5,6,5,5,5,2,3,3.3,4,5.1
511,29,Female,United States,3,3,5,3,3,3,3,4,2,4,3,3,4,5,4,5,5,9,2,4,6,6,6,6,6,6,6,2,3,3,3.1,3.333333333,5.9
513,23,Male,United States,1,1,3,4,4,3,4,4,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.888888889,1.333333333,NA
518,23,Female,United States,3,2,3,4,3,3,4,3,2,2,3,3,4,4,6,6,9,10,3,3,3,2,6,6,5,4,5,2,4,2,2.5,3.333333333,5.9
593,31,Male,United States,3,1,2,5,1,1,5,5,2,1,1,1,3,8,8,2,2,5,9,2,5,4,5,6,5,5,3,1,4,2,1.8,1.666666667,6
839,37,Female,United States,2,3,3,4,2,2,3,3,3,2,5,3,3,9,8,8,8,8,7,6,6,6,6,6,5,6,5,4,5,4,2.7,3.666666667,6
955,69,Female,United States,3,3,3,4,3,3,4,3,4,3,3,3,3,0,5,0,0,7,0,5,5,5,6,6,6,6,6,1,4,2,2.9,3,6
977,26,Female,United States,3,4,3,3,2,4,2,3,2,2,2,4,3,7,6,6,5,6,4,5,5,5,4,5,4,5,5,2,2,2,3.2,3,5.8
1446,44,Male,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1520,43,Female,United States,3,1,1,5,4,2,5,4,1,1,1,1,2,0,2,1,2,9,0,5,5,5,5,5,6,5,6,1,2,5,1.5,1.333333,5.4
1904,84,Female,United States,1,4,3,5,4,1,5,5,1,1,2,1,3,3,5,9,7,9,3,4,4,4,4,3,6,6,4,1,5,1,1.6,2,5.4
2145,32,Female,United States,2,3,3,4,4,5,3,2,2,2,4,2,3,5,5,6,8,6,7,6,6,6,6,6,5,5,5,5,5,2,2.8,3,4.6
2153,70,Female,United States,3,1,2,5,3,2,4,3,2,2,1,3,3,5,5,5,7,7,2,4,4,4,5,5,5,5,4,2,4,4,2.1,2.333333,4
2159,80,Female,United States,1,2,1,1,2,1,5,5,2,1,1,1,1,1,6,7,7,9,1,6,5,6,6,6,6,6,1,1,3,2,1.9,1,4.2
2197,73,Female,United States,1,3,2,5,4,2,4,4,2,1,3,3,3,7,8,8,7,8,1,4,5,5,6,6,5,5,5,1,2,5,1.8,3,5.5
2220,48,Male,United States,2,1,1,5,4,1,5,5,3,2,1,1,3,3,7,7,5,8,1,3,3,5,6,6,5,6,5,1,3,1,1.5,1.666667,4.6
2290,66,Female,United States,2,2,2,5,4,2,5,5,2,1,2,3,2,6,9,8,9,2,8,5,6,5,5,5,6,6,6,3,4,2,1.6,2.333333,5.9
2313,75,Female,United States,3,2,4,4,2,2,4,3,1,3,3,2,4,6,7,7,7,8,2,5,5,5,6,6,4,5,5,1,5,3,2.6,3,4.8
2560,38,Female,United States,3,3,5,3,2,4,3,2,3,5,3,4,5,5,5,6,4,7,5,5,5,5,6,6,5,5,6,5,4,3,3.7,4,5.1
2586,35,Female,United States,2,1,2,5,4,1,5,5,1,1,1,1,1,5,5,6,7,10,4,5,6,5,5,5,5,6,6,2,3,2,1.3,1,5.9
2832,37,Male,United States,3,3,4,3,3,2,3,3,4,2,3,4,4,5,7,7,8,9,3,4,4,5,6,6,6,4,5,4,4,4,3,3.666667,5
2848,51,Male,United States,4,3,4,3,3,2,3,3,4,3,3,2,2,3,5,6,6,7,2,5,5,5,5,5,4,5,5,2,3,2,3.2,2.333333,NA
