Bulan,Wisatawan
1/1/2017,131128
2/1/2017,116291
3/1/2017,90301
4/1/2017,124921
5/1/2017,129454
6/1/2017,146766
7/1/2017,141001
8/1/2017,143457
9/1/2017,136654
10/1/2017,136815
11/1/2017,130653
12/1/2017,159048
1/1/2018,234618
2/1/2018,196019
3/1/2018,212932
4/1/2018,216754
5/1/2018,207135
6/1/2018,215957
7/1/2018,221388
8/1/2018,224099
9/1/2018,195095
10/1/2018,192464
11/1/2018,181353
12/1/2018,209290
1/1/2019,190552
2/1/2019,171728
3/1/2019,174392
4/1/2019,173309
5/1/2019,203196
6/1/2019,218884
7/1/2019,180874
8/1/2019,184827
9/1/2019,160668
10/1/2019,158319
11/1/2019,145273
12/1/2019,149594
1/1/2020,155019
2/1/2020,118011
3/1/2020,119765
4/1/2020,112225
5/1/2020,114721
6/1/2020,108038
7/1/2020,104731
8/1/2020,106279
9/1/2020,93884
10/1/2020,98643
11/1/2020,87421
12/1/2020,96013
1/1/2021,87117
2/1/2021,69378
3/1/2021,71810
4/1/2021,63512
5/1/2021,85673
6/1/2021,80681
7/1/2021,84563
8/1/2021,83427
9/1/2021,81955
10/1/2021,92170
11/1/2021,97927
12/1/2021,106603
1/1/2022,63301
2/1/2022,48136
3/1/2022,59210
4/1/2022,63590
5/1/2022,65371
6/1/2022,68737
7/1/2022,73744
8/1/2022,83091
9/1/2022,79740
10/1/2022,79764
11/1/2022,80910
12/1/2022,100575
1/1/2023,89102
2/1/2023,70923
3/1/2023,78398
4/1/2023,69717
5/1/2023,80323
6/1/2023,79276
7/1/2023,76587
8/1/2023,85993
9/1/2023,79938
10/1/2023,84774
11/1/2023,84029
12/1/2023,0
