Bulan,Wisatawan
1/1/2017,230174
2/1/2017,186669
3/1/2017,220326
4/1/2017,233538
5/1/2017,209193
6/1/2017,233765
7/1/2017,226979
8/1/2017,235311
9/1/2017,229735
10/1/2017,222271
11/1/2017,230070
12/1/2017,324624
1/1/2018,220044
2/1/2018,261044
3/1/2018,304859
4/1/2018,236833
5/1/2018,230118
6/1/2018,289312
7/1/2018,252458
8/1/2018,280868
9/1/2018,264522
10/1/2018,243901
11/1/2018,259832
12/1/2018,370629
1/1/2019,304479
2/1/2019,340751
3/1/2019,378698
4/1/2019,328884
5/1/2019,335111
6/1/2019,386152
7/1/2019,311429
8/1/2019,368408
9/1/2019,327642
10/1/2019,332319
11/1/2019,358264
12/1/2019,388495
1/1/2020,313541
2/1/2020,192604
3/1/2020,111323
4/1/2020,45058
5/1/2020,46615
6/1/2020,47060
7/1/2020,46942
8/1/2020,49542
9/1/2020,45109
10/1/2020,41370
11/1/2020,40970
12/1/2020,44467
1/1/2021,37667
2/1/2021,29300
3/1/2021,35317
4/1/2021,30918
5/1/2021,39720
6/1/2021,29929
7/1/2021,35511
8/1/2021,33497
9/1/2021,33397
10/1/2021,38245
11/1/2021,32741
12/1/2021,39230
1/1/2022,58442
2/1/2022,51539
3/1/2022,60357
4/1/2022,69085
5/1/2022,105719
6/1/2022,134664
7/1/2022,184193
8/1/2022,164918
9/1/2022,196668
10/1/2022,207390
11/1/2022,193894
12/1/2022,299967
1/1/2023,161600
2/1/2023,142928
3/1/2023,236181
4/1/2023,235659
5/1/2023,214326
6/1/2023,276037
7/1/2023,225106
8/1/2023,220199
9/1/2023,212770
10/1/2023,186141
11/1/2023,186454
12/1/2023,0
